unique_id,new_block,now_trt,future,old_block,indiv,cross,colors,first_flower,wilt1,wilt2,wilt3,wilt4,wilt5,wilt6,wilt7,wilt8,wilt9,dead1,dead2,dead3
197,6,water,late drought,32,1,T2930-2xT829-3,Y_Y,,,,,,,25-Apr,,,,1,,
199,6,water,late drought,23,12,B2315-1xP1423-7,M_M,24-Apr,,,,,,25-Apr,,,,,,
202,6,water,water,27,8,B723-3xT2930-2,M_Y,30-Apr,,,,,,,,,,,,
204,6,water,late drought,34,2,P2409-9xB2913-2,M_M,24-Apr,,,,,,25-Apr,,,,1,,
205,6,water,late drought,14,4,B711-1xB1207-3,M_M,24-Apr,,,,,,25-Apr,,,,,,
207,6,water,late drought,20,10,B2913-3xB2311-1,M_M,12-Apr,,,,,,25-Apr,,,,,,
208,7,drought,early drought,50,1,V1014-5xL624-9,Y_Y,,,,,,,30-Apr,,,,,,
213,6,water,water,28,3,B1916-3xT2829-3,M_Y,24-Apr,,,,,,,,,,,,
214,6,water,water,32,4,T2930-2xT829-3,Y_Y,,,,,,,,,,,,,
216,6,water,water,36,6,T3105-1xT2813-2,Y_Y,,,,,,,,,,,,,
218,6,water,water,14,3,B711-1xB1207-3,M_M,26-Apr,,,,,,,,,,,,
219,6,water,late drought,45,7,T515-6xL624-9,Y_Y,,,,,,,26-Apr,,,,,,
222,6,water,water,32,5,T2930-2xT829-3,Y_Y,,,,,,,,,,,,,
224,7,drought,early drought,28,4,B1916-3xT2829-3,M_Y,,,28-mar,,12-Apr,,25-Apr,,,,,,
226,6,water,water,18,4,B1613-3xT2930-2,M_Y,30-Apr,,,,,,,,,,,,
227,7,drought,early drought,34,3,P2409-9xB2913-2,M_M,,,28-mar,,,,25-Apr,,,,,,
228,8,water,late drought,13,6,B1223-1xB1613-3,M_M,12-Apr,,,,,,30-Apr,,,,,,
229,8,water,water,45,2,T515-6xL624-9,Y_Y,,,,,,,,,,,,,
231,7,drought,early drought,13,2,B1223-1xB1613-3,M_M,12-Apr,,28-mar,,9-Apr,,25-Apr,,,,,,
232,8,water,water,34,4,P2409-9xB2913-2,M_M,30-Apr,,,,,,,,,,,,
233,7,drought,early drought,9,2,B1427-3xB3018-3,M_M,30-Apr,,,,,,25-Apr,,,,,,
234,8,water,water,3,7,B1223-1xT2315-2,M_Y,25-Apr,,,,,,,,,,,,
236,8,water,water,50,4,V1014-5xL624-9,Y_Y,,,,,,,,,,,,,
